,Donald Trump,Clinton,District,Result,Hillary Clinton,Gary Johnson,Bernie Sanders(write-in)
AL-1,63.5,34.1,AL-1,63.5,,,
AL-2,64.9,33.0,AL-2,64.9,,,
AL-3,65.3,32.3,AL-3,65.3,,,
AL-4,80.4,17.4,AL-4,80.4,,,
AL-5,64.7,31.3,AL-5,64.7,,,
AL-6,70.8,26.1,AL-6,70.8,,,
AL-7,28.6,69.8,AL-7,69.8,,,
AK-0,51.28,,AK-0,51.28,36.55,5.88,
AZ-1,47.7,46.6,AZ-1,47.7,,,
AZ-2,44.7,49.6,AZ-2,49.6,,,
AZ-3,32.5,62.4,AZ-3,62.4,,,
AZ-4,67.7,27.5,AZ-4,67.7,,,
AZ-5,57.6,36.5,AZ-5,57.6,,,
AZ-6,52.4,42.4,AZ-6,52.4,,,
AZ-7,22.6,71.8,AZ-7,71.8,,,
AZ-8,58.1,37.0,AZ-8,58.1,,,
AZ-9,38.4,54.7,AZ-9,54.7,,,
AR-1,65.0,30.2,AR-1,65.0,,,
AR-2,52.4,41.7,AR-2,52.4,,,
AR-3,61.9,30.5,AR-3,61.9,,,
AR-4,64.2,31.3,AR-4,64.2,,,
CA-1,55.0,36.0,CA-1,55.0,,,
CA-2,23.0,69.0,CA-2,69.0,,,
CA-3,40.0,53.0,CA-3,53.0,,,
CA-4,53.0,39.0,CA-4,53.0,,,
CA-5,24.0,69.0,CA-5,69.0,,,
CA-6,24.0,68.0,CA-6,68.0,,,
CA-7,40.0,51.0,CA-7,51.0,,,
CA-8,55.0,40.0,CA-8,55.0,,,
CA-9,37.0,55.0,CA-9,55.0,,,
CA-10,45.0,48.0,CA-10,48.0,,,
CA-11,22.0,70.0,CA-11,70.0,,,
CA-12,9.0,86.0,CA-12,86.0,,,
CA-13,7.0,87.0,CA-13,87.0,,,
CA-14,18.0,77.0,CA-14,77.0,,,
CA-15,24.0,69.0,CA-15,69.0,,,
CA-16,36.0,57.0,CA-16,57.0,,,
CA-17,20.0,74.0,CA-17,74.0,,,
CA-18,20.0,73.0,CA-18,73.0,,,
CA-19,22.0,73.0,CA-19,73.0,,,
CA-20,23.0,70.0,CA-20,70.0,,,
CA-21,39.0,55.0,CA-21,55.0,,,
CA-22,51.0,42.0,CA-22,51.0,,,
CA-23,58.0,36.0,CA-23,58.0,,,
CA-24,36.0,56.0,CA-24,56.0,,,
CA-25,43.0,50.0,CA-25,50.0,,,
CA-26,35.0,57.0,CA-26,57.0,,,
CA-27,28.0,66.0,CA-27,66.0,,,
CA-28,22.0,72.0,CA-28,72.0,,,
CA-29,17.0,78.0,CA-29,78.0,,,
CA-30,26.0,69.0,CA-30,69.0,,,
CA-31,37.0,58.0,CA-31,58.0,,,
CA-32,28.0,67.0,CA-32,67.0,,,
CA-33,27.0,68.0,CA-33,68.0,,,
CA-34,11.0,84.0,CA-34,84.0,,,
CA-35,27.0,68.0,CA-35,68.0,,,
CA-36,43.0,52.0,CA-36,52.0,,,
CA-37,10.0,86.0,CA-37,86.0,,,
CA-38,27.0,67.0,CA-38,67.0,,,
CA-39,43.0,51.0,CA-39,51.0,,,
CA-40,13.0,82.0,CA-40,82.0,,,
CA-41,33.0,61.0,CA-41,61.0,,,
CA-42,53.0,41.0,CA-42,53.0,,,
CA-43,17.0,78.0,CA-43,78.0,,,
CA-44,12.0,83.0,CA-44,83.0,,,
CA-45,44.0,49.0,CA-45,49.0,,,
CA-46,28.0,66.0,CA-46,66.0,,,
CA-47,31.0,62.0,CA-47,62.0,,,
CA-48,46.0,48.0,CA-48,48.0,,,
CA-49,43.0,51.0,CA-49,51.0,,,
CA-50,55.0,40.0,CA-50,55.0,,,
CA-51,23.0,72.0,CA-51,72.0,,,
CA-52,36.0,58.0,CA-52,58.0,,,
CA-53,30.0,65.0,CA-53,65.0,,,
CO-1,23.0,69.0,CO-1,69.0,,,
CO-2,35.0,56.0,CO-2,56.0,,,
CO-3,52.0,40.0,CO-3,52.0,,,
CO-4,57.0,34.0,CO-4,57.0,,,
CO-5,57.0,33.0,CO-5,57.0,,,
CO-6,41.0,50.0,CO-6,50.0,,,
CO-7,40.0,52.0,CO-7,52.0,,,
CT-1,36.32,59.4,CT-1,59.4,,,
CT-2,45.77,48.66,CT-2,48.66,,,
CT-3,40.38,55.88,CT-3,55.88,,,
CT-4,36.56,59.57,CT-4,59.57,,,
CT-5,45.83,49.93,CT-5,49.93,,,
DE-0,41.72,,DE-0,53.09,53.09,,
FL-1,68.0,28.0,FL-1,68.0,,,
FL-2,66.0,31.0,FL-2,66.0,,,
FL-3,56.0,40.0,FL-3,56.0,,,
FL-4,62.0,34.0,FL-4,62.0,,,
FL-5,36.0,61.0,FL-5,61.0,,,
FL-6,57.0,40.0,FL-6,57.0,,,
FL-7,44.0,51.0,FL-7,51.0,,,
FL-8,58.0,38.0,FL-8,58.0,,,
FL-9,42.0,55.0,FL-9,55.0,,,
FL-10,35.0,62.0,FL-10,62.0,,,
FL-11,65.0,33.0,FL-11,65.0,,,
FL-12,57.0,39.0,FL-12,57.0,,,
FL-13,46.0,50.0,FL-13,50.0,,,
FL-14,39.0,57.0,FL-14,57.0,,,
FL-15,53.0,43.0,FL-15,53.0,,,
FL-16,54.0,43.0,FL-16,54.0,,,
FL-17,62.0,35.0,FL-17,62.0,,,
FL-18,53.0,44.0,FL-18,53.0,,,
FL-19,60.0,38.0,FL-19,60.0,,,
FL-20,18.0,80.0,FL-20,80.0,,,
FL-21,39.0,59.0,FL-21,59.0,,,
FL-22,41.0,57.0,FL-22,57.0,,,
FL-23,36.0,62.0,FL-23,62.0,,,
FL-24,16.0,81.0,FL-24,81.0,,,
FL-25,50.0,48.0,FL-25,50.0,,,
FL-26,41.0,57.0,FL-26,57.0,,,
FL-27,39.0,59.0,FL-27,59.0,,,
GA-1,56.0,41.0,GA-1,56.0,,,
GA-2,43.0,55.0,GA-2,55.0,,,
GA-3,64.0,33.0,GA-3,64.0,,,
GA-4,22.0,75.0,GA-4,75.0,,,
GA-5,12.0,85.0,GA-5,85.0,,,
GA-6,48.0,47.0,GA-6,48.0,,,
GA-7,51.0,45.0,GA-7,51.0,,,
GA-8,63.0,34.0,GA-8,63.0,,,
GA-9,78.0,19.0,GA-9,78.0,,,
GA-10,61.0,36.0,GA-10,61.0,,,
GA-11,60.0,35.0,GA-11,60.0,,,
GA-12,57.0,41.0,GA-12,57.0,,,
GA-13,27.0,71.0,GA-13,71.0,,,
GA-14,75.0,22.0,GA-14,75.0,,,
HI-0,30.36,,HI-0,62.88,62.88,,
ID-1,25.4,63.7,ID-1,63.7,,,
ID-2,29.8,54.5,ID-2,54.5,,,
IL-1,22.0,75.0,IL-1,75.0,,,
IL-2,19.0,79.0,IL-2,79.0,,,
IL-3,39.0,55.0,IL-3,55.0,,,
IL-4,13.0,81.0,IL-4,81.0,,,
IL-5,24.0,70.0,IL-5,70.0,,,
IL-6,43.0,50.0,IL-6,50.0,,,
IL-7,9.0,87.0,IL-7,87.0,,,
