,Donald Trump,Joe Biden,District,Result
AL-1,63.7,35.3,AL-1,-63.7
AL-2,63.9,35.1,AL-2,-63.9
AL-3,65.3,33.7,AL-3,-65.3
AL-4,81.2,17.8,AL-4,-81.2
AL-5,62.7,35.7,AL-5,-62.7
AL-6,67.0,31.8,AL-6,-67.0
AL-7,28.5,70.8,AL-7,70.8
AK-0,52.83,42.77,AK-0,-52.83
AZ-1,48.4,50.1,AZ-1,50.1
AZ-2,43.9,54.5,AZ-2,54.5
AZ-3,35.7,62.8,AZ-3,62.8
AZ-4,68.0,30.6,AZ-4,-68.0
AZ-5,56.4,41.9,AZ-5,-56.4
AZ-6,51.4,47.3,AZ-6,-51.4
AZ-7,24.7,73.7,AZ-7,73.7
AZ-8,57.3,41.4,AZ-8,-57.3
AZ-9,37.3,60.8,AZ-9,60.8
AR-1,69.1,27.9,AR-1,-69.1
AR-2,53.1,44.3,AR-2,-53.1
AR-3,61.9,35.2,AR-3,-61.9
AR-4,67.7,29.6,AR-4,-67.7
CA-1,56.4,41.1,CA-1,-56.4
CA-2,23.9,73.6,CA-2,73.6
CA-3,42.7,54.9,CA-3,54.9
CA-4,53.7,43.9,CA-4,-53.7
CA-5,25.3,72.5,CA-5,72.5
CA-6,27.2,70.3,CA-6,70.3
CA-7,41.9,55.7,CA-7,55.7
CA-8,54.1,43.6,CA-8,-54.1
CA-9,39.9,57.9,CA-9,57.9
CA-10,47.4,50.3,CA-10,50.3
CA-11,23.6,74.3,CA-11,74.3
CA-12,11.9,86.1,CA-12,86.1
CA-13,9.0,89.0,CA-13,89.0
CA-14,20.5,77.7,CA-14,77.7
CA-15,26.4,71.5,CA-15,71.5
CA-16,38.9,58.8,CA-16,58.8
CA-17,25.6,72.5,CA-17,72.5
CA-18,21.5,76.2,CA-18,76.2
CA-19,27.9,70.0,CA-19,70.0
CA-20,25.0,72.7,CA-20,72.7
CA-21,43.5,54.4,CA-21,54.4
CA-22,51.7,46.2,CA-22,-51.7
CA-23,57.2,40.5,CA-23,-57.2
CA-24,36.9,60.7,CA-24,60.7
CA-25,43.9,54.0,CA-25,54.0
CA-26,36.5,61.4,CA-26,61.4
CA-27,30.8,67.2,CA-27,67.2
CA-28,27.2,70.9,CA-28,70.9
CA-29,23.7,74.1,CA-29,74.1
CA-30,29.4,68.7,CA-30,68.7
CA-31,38.9,58.8,CA-31,58.8
CA-32,32.8,65.2,CA-32,65.2
CA-33,29.0,69.0,CA-33,69.0
CA-34,16.9,80.8,CA-34,80.8
CA-35,32.6,65.1,CA-35,65.1
CA-36,42.3,55.9,CA-36,55.9
CA-37,13.8,84.3,CA-37,84.3
CA-38,32.3,65.6,CA-38,65.6
CA-39,44.0,54.1,CA-39,54.1
CA-40,20.6,77.1,CA-40,77.1
CA-41,36.1,61.7,CA-41,61.7
CA-42,52.7,45.4,CA-42,-52.7
CA-43,20.9,76.9,CA-43,76.9
CA-44,19.2,78.4,CA-44,78.4
CA-45,43.3,54.6,CA-45,54.6
CA-46,33.8,64.1,CA-46,64.1
CA-47,35.3,62.5,CA-47,62.5
CA-48,48.3,49.7,CA-48,49.7
CA-49,42.6,55.2,CA-49,55.2
CA-50,52.7,45.0,CA-50,-52.7
CA-51,30.9,66.9,CA-51,66.9
CA-52,34.2,63.7,CA-52,63.7
CA-53,30.9,67.0,CA-53,67.0
CO-1,22.1,75.6,CO-1,75.6
CO-2,33.6,63.7,CO-2,63.7
CO-3,51.6,46.1,CO-3,-51.6
CO-4,56.6,40.8,CO-4,-56.6
CO-5,54.7,41.8,CO-5,-54.7
CO-6,39.3,58.2,CO-6,58.2
CO-7,37.1,60.0,CO-7,60.0
CT-1,35.3,63.3,CT-1,63.3
CT-2,43.5,54.5,CT-2,54.5
CT-3,38.8,59.9,CT-3,59.9
CT-4,34.5,64.2,CT-4,64.2
CT-5,43.9,54.6,CT-5,54.6
DE-0,39.77,58.74,DE-0,58.74
FL-1,65.9,32.4,FL-1,-65.9
FL-2,67.0,32.0,FL-2,-67.0
FL-3,56.0,42.8,FL-3,-56.0
FL-4,59.9,38.9,FL-4,-59.9
FL-5,36.2,62.7,FL-5,62.7
FL-6,58.3,40.8,FL-6,-58.3
FL-7,44.2,54.6,FL-7,54.6
FL-8,58.3,40.6,FL-8,-58.3
FL-9,46.0,52.9,FL-9,52.9
FL-10,37.0,62.0,FL-10,62.0
FL-11,65.4,33.8,FL-11,-65.4
FL-12,57.9,41.0,FL-12,-57.9
FL-13,47.4,51.5,FL-13,51.5
FL-14,41.6,57.2,FL-14,57.2
FL-15,53.7,45.2,FL-15,-53.7
FL-16,53.6,45.5,FL-16,-53.6
FL-17,63.3,35.9,FL-17,-63.3
FL-18,53.9,45.5,FL-18,-53.9
FL-19,59.7,39.6,FL-19,-59.7
FL-20,22.1,77.3,FL-20,77.3
FL-21,41.2,58.2,FL-21,58.2
FL-22,42.3,57.2,FL-22,57.2
FL-23,41.2,58.3,FL-23,58.3
FL-24,24.0,75.4,FL-24,75.4
FL-25,61.2,38.2,FL-25,-61.2
FL-26,52.5,46.9,FL-26,-52.5
FL-27,48.1,51.3,FL-27,51.3
GA-1,55.5,43.1,GA-1,-55.5
GA-2,43.4,55.7,GA-2,55.7
GA-3,62.0,36.8,GA-3,-62.0
GA-4,20.2,78.8,GA-4,78.8
GA-5,12.7,86.2,GA-5,86.2
GA-6,43.7,54.8,GA-6,54.8
GA-7,46.1,52.4,GA-7,52.4
GA-8,62.0,37.0,GA-8,-62.0
GA-9,76.4,22.4,GA-9,-76.4
GA-10,59.6,39.2,GA-10,-59.6
GA-11,56.9,41.5,GA-11,-56.9
GA-12,55.8,43.0,GA-12,-55.8
GA-13,23.4,75.6,GA-13,75.6
GA-14,73.4,25.3,GA-14,-73.4
HI-1,34.5,63.8,HI-1,63.8
HI-2,34.1,63.6,HI-2,63.6
ID-1,67.1,30.1,ID-1,-67.1
ID-2,60.1,36.6,ID-2,-60.1
IL-1,24.7,73.9,IL-1,73.9
IL-2,21.2,77.5,IL-2,77.5
IL-3,42.9,55.5,IL-3,55.5
IL-4,17.3,80.7,IL-4,80.7
IL-5,26.0,72.1,IL-5,72.1
IL-6,42.6,55.3,IL-6,55.3
IL-7,12.1,86.3,IL-7,86.3
IL-8,39.0,59.2,IL-8,59.2
IL-9,27.4,71.0,IL-9,71.0
IL-10,34.0,64.3,IL-10,64.3
IL-11,36.2,61.9,IL-11,61.9
IL-12,56.1,41.9,IL-12,-56.1
IL-13,50.5,47.0,IL-13,-50.5
IL-14,47.8,50.2,IL-14,50.2
IL-15,72.2,25.9,IL-15,-72.2
IL-16,56.9,40.9,IL-16,-56.9
IL-17,49.7,48.1,IL-17,-49.7
IL-18,61.0,36.8,IL-18,-61.0
IN-1,44.8,53.6,IN-1,53.6
IN-2,59.4,38.9,IN-2,-59.4
IN-3,63.9,34.0,IN-3,-63.9
IN-4,63.8,34.0,IN-4,-63.8
IN-5,50.1,47.9,IN-5,-50.1
IN-6,68.8,29.1,IN-6,-68.8
IN-7,35.3,62.9,IN-7,62.9
IN-8,65.1,33.1,IN-8,-65.1
IN-9,60.8,37.2,IN-9,-60.8
IA-1,50.79,47.38,IA-1,-50.79
IA-2,51.1,47.1,IA-2,-51.1
IA-3,49.15,49.02,IA-3,-49.15
IA-4,62.68,35.73,IA-4,-62.68
KS-1,69.7,28.1,KS-1,-69.7
KS-2,56.3,41.3,KS-2,-56.3
KS-3,43.7,54.3,KS-3,54.3
KS-4,59.7,38.0,KS-4,-59.7
KY-1,73.1,25.5,KY-1,-73.1
KY-2,67.6,30.6,KY-2,-67.6
KY-3,38.1,60.0,KY-3,60.0
KY-4,64.8,33.4,KY-4,-64.8
KY-5,80.2,18.6,KY-5,-80.2
KY-6,53.6,44.5,KY-6,-53.6
LA-1,68.0,30.1,LA-1,-68.0
LA-2,23.0,75.3,LA-2,75.3
LA-3,68.1,30.2,LA-3,-68.1
LA-4,61.5,37.0,LA-4,-61.5
LA-5,64.5,34.1,LA-5,-64.5
LA-6,63.8,34.4,LA-6,-63.8
ME-1,37.02,60.11,ME-1,60.11
ME-2,52.26,44.82,ME-2,-52.26
MD-1,58.8,39.1,MD-1,-58.8
